log value type
780 0.535887 20 %
37 1.071773 1 %
37 0.933033 5 %
37 0.870551 10 %
37 0.812252 20 %
701 1 1 %
701 1 5 %
701 0.659754 10 %
701 0.707107 20 %
41 3.24901 1 %
41 0.870551 5 %
41 0.307786 10 %
41 0.307786 20 %
272 0.047366 1 %
272 0.757858 5 %
272 0.757858 10 %
272 0.757858 20 %
651 0.044194 1 %
651 0.870551 5 %
651 0.870551 10 %
651 0.870551 20 %
435 0.054409 1 %
435 0.870551 5 %
435 1 10 %
435 1 20 %
771 1.071773 1 %
771 1 5 %
771 0.933033 10 %
771 0.615572 20 %
460 0.267943 1 %
460 2.143547 5 %
460 2.297397 10 %
460 1.741101 20 %
261 0.329877 1 %
261 0.287175 5 %
261 0.03125 10 %
261 0.03125 20 %
427 1.414214 1 %
427 1.414214 5 %
427 1.414214 10 %
427 1.319508 20 %
38 0.038473 1 %
38 6.498019 5 %
38 6.964405 10 %
38 6.964405 20 %
280 1.231144 1 %
280 1.866066 5 %
280 1.624505 10 %
280 1.515717 20 %
470 0.757858 1 %
470 0.757858 5 %
470 0.353553 10 %
470 0.406126 20 %
804 1.515717 1 %
804 1.148698 5 %
804 1.148698 10 %
804 1.071773 20 %
123 0.0625 1 %
123 1.071773 5 %
123 1.231144 10 %
123 1.148698 20 %
195 0.088388 1 %
195 0.933033 5 %
195 1.148698 10 %
195 1 20 %
263 0.176777 1 %
263 1.148698 5 %
263 1.148698 10 %
263 1 20 %
555 0.038473 1 %
555 0.03125 5 %
555 0.03125 10 %
555 0.03125 20 %
132 1.319508 1 %
132 1.231144 5 %
132 1.148698 10 %
132 1.071773 20 %
730 0.5 1 %
730 0.574349 5 %
730 0.535887 10 %
730 0.435275 20 %
751 0.466516 1 %
751 0.435275 5 %
751 0.435275 10 %
751 0.406126 20 %
745 0.466516 1 %
745 0.435275 5 %
745 0.435275 10 %
745 0.406126 20 %
749 0.406126 1 %
749 0.353553 5 %
749 0.353553 10 %
749 0.307786 20 %
221 0.5 1 %
221 0.466516 5 %
221 0.466516 10 %
221 0.435275 20 %
759 0.406126 1 %
759 0.378929 5 %
759 0.378929 10 %
759 0.353553 20 %
345 0.435275 1 %
345 0.466516 5 %
345 0.466516 10 %
345 0.435275 20 %
731 0.406126 1 %
731 0.466516 5 %
731 0.435275 10 %
731 0.435275 20 %
275 0.466516 1 %
275 0.5 5 %
275 0.5 10 %
275 0.466516 20 %
538 0.378929 1 %
538 0.378929 5 %
538 0.378929 10 %
538 0.378929 20 %
725 0.378929 1 %
725 0.466516 5 %
725 0.466516 10 %
725 0.435275 20 %
736 0.329877 1 %
736 0.329877 5 %
736 0.329877 10 %
736 0.267943 20 %
231 0.707107 1 %
231 0.5 5 %
231 0.189465 10 %
231 0.116629 20 %
145 0.659754 1 %
145 0.5 5 %
145 0.435275 10 %
145 0.133972 20 %
59 0.659754 1 %
59 0.5 5 %
59 0.466516 10 %
59 0.143587 20 %
248 0.707107 1 %
248 0.535887 5 %
248 0.466516 10 %
248 0.153893 20 %
18 0.707107 1 %
18 0.5 5 %
18 0.189465 10 %
18 0.189465 20 %
28 0.707107 1 %
28 0.5 5 %
28 0.164938 10 %
28 0.143587 20 %
103 0.757858 1 %
103 0.5 5 %
103 0.466516 10 %
103 0.125 20 %
16 0.707107 1 %
16 0.574349 5 %
16 0.466516 10 %
16 0.125 20 %
27 0.659754 1 %
27 0.5 5 %
27 0.116629 10 %
27 0.101532 20 %
201 0.659754 1 %
201 0.5 5 %
201 0.125 10 %
201 0.116629 20 %
111 0.659754 1 %
111 0.5 5 %
111 0.466516 10 %
111 0.133972 20 %
61 0.659754 1 %
61 0.5 5 %
61 0.153893 10 %
61 0.143587 20 %
13 0.707107 1 %
13 0.5 5 %
13 0.5 10 %
13 0.133972 20 %
43 0.659754 1 %
43 0.466516 5 %
43 0.125 10 %
43 0.101532 20 %
213 0.659754 1 %
213 0.466516 5 %
213 0.176777 10 %
213 0.133972 20 %
116 0.659754 1 %
116 0.5 5 %
116 0.217638 10 %
116 0.125 20 %
130 0.659754 1 %
130 0.5 5 %
130 0.133972 10 %
130 0.116629 20 %
94 0.659754 1 %
94 0.5 5 %
94 0.353553 10 %
94 0.143587 20 %
36 0.707107 1 %
36 0.5 5 %
36 0.5 10 %
36 0.176777 20 %
67 0.707107 1 %
67 0.5 5 %
67 0.466516 10 %
67 0.143587 20 %
200 0.707107 1 %
200 0.535887 5 %
200 0.466516 10 %
200 0.176777 20 %
47 0.659754 1 %
47 0.466516 5 %
47 0.143587 10 %
47 0.101532 20 %
39 0.707107 1 %
39 0.5 5 %
39 0.164938 10 %
39 0.164938 20 %
35 0.659754 1 %
35 0.5 5 %
35 0.435275 10 %
35 0.153893 20 %
22 0.707107 1 %
22 0.5 5 %
22 0.466516 10 %
22 0.133972 20 %
254 0.707107 1 %
254 0.5 5 %
254 0.466516 10 %
254 0.133972 20 %
166 0.659754 1 %
166 0.659754 5 %
166 0.466516 10 %
166 0.101532 20 %
74 0.757858 1 %
74 0.5 5 %
74 0.466516 10 %
74 0.153893 20 %
136 0.707107 1 %
136 0.574349 5 %
136 0.378929 10 %
