type pcts
1 0.55907
2 0.28389
3 0.09646
4 0.06058
1 0.56973
2 0.04606
3 0.31748
4 0.06673
1 0.64402
2 0.06142
3 0.28077
4 0.01379
1 0.46487
2 0.11873
3 0.29833
4 0.11807
1 0.80749
2 0.04567
3 0.10961
4 0.03722
1 0.33097
2 0.00835
3 0.10842
4 0.55225
1 0.56752
2 0.23382
3 0.10955
4 0.08912
1 0.54611
2 0.08812
3 0.31432
4 0.05145
1 0.67107
2 0.01107
3 0.08649
4 0.23137
1 0.11290
2 0.09881
3 0.35757
4 0.43072
1 0.66618
2 0.23723
3 0.07025
4 0.02634
1 0.51967
2 0.09923
3 0.24336
4 0.13773
1 0.60772
2 0.07629
3 0.19180
4 0.12420
1 0.43541
2 0.09415
3 0.32169
4 0.14875
1 0.47770
2 0.08066
3 0.38825
4 0.05339
1 0.98511
1 0.93305
2 0.00251
3 0.03163
4 0.03281
1 0.85885
2 0.02842
3 0.01484
4 0.09788
1 0.35624
2 0.01345
3 0.28622
4 0.34408
1 0.18525
2 0.45183
3 0.08756
4 0.27536
1 0.10894
2 0.74850
3 0.11025
4 0.03232
1 0.47658
2 0.07123
3 0.19736
4 0.25482
1 0.38206
2 0.00773
3 0.23215
4 0.37806
1 0.45832
2 0.02704
3 0.03647
4 0.47816
1 0.41970
2 0.01443
3 0.00796
4 0.55791
1 0.58392
2 0.06705
3 0.16007
4 0.18896
1 0.20449
2 0.23396
3 0.54371
4 0.01784
1 0.59461
2 0.01284
3 0.21701
4 0.17553
1 0.53679
2 0.10233
3 0.27780
4 0.08308
1 0.33089
2 0.10443
3 0.36313
4 0.20155
1 0.57503
2 0.01732
3 0.39696
4 0.01068
1 0.49270
2 0.07664
3 0.17930
4 0.25137
1 0.31390
2 0.01616
3 0.00337
4 0.66657
1 0.98743
2 0.00282
3 0.00144
4 0.00831
1 0.12806
2 0.52422
3 0.14327
4 0.20446
1 0.44938
2 0.00582
3 0.00023
4 0.54458
1 0.89436
2 0.02376
3 0.04993
4 0.03195
1 0.37670
2 0.11080
3 0.15128
4 0.36122
1 0.43782
2 0.05417
3 0.45783
4 0.05018
1 0.39469
2 0.05992
3 0.51170
4 0.03369
1 0.38488
2 0.09134
3 0.34220
4 0.18159
1 0.84437
2 0.05232
3 0.06533
4 0.03797
1 0.38408
2 0.04039
3 0.09933
4 0.47620
1 0.39094
2 0.04182
3 0.17937
4 0.38787
1 0.37324
2 0.09243
3 0.41559
4 0.11873
1 0.27296
2 0.12105
3 0.10909
4 0.49690
1 0.70380
2 0.26624
3 0.02678
4 0.00317
1 0.73253
2 0.08001
3 0.06685
4 0.12060
1 0.51159
2 0.06433
3 0.16969
4 0.25439
1 0.28930
2 0.13770
3 0.04342
4 0.52957
1 0.44161
2 0.11402
3 0.38754
4 0.05682
1 0.41113
2 0.13175
3 0.34705
4 0.11007
1 0.45663
2 0.08048
3 0.32943
4 0.13347
1 0.29131
2 0.00244
3 0.00844
4 0.69781
1 0.68371
2 0.03257
3 0.25810
4 0.02563
1 0.65587
2 0.06288
3 0.00177
4 0.27948
1 0.39483
2 0.00793
3 0.00173
4 0.59551
1 0.88841
2 0.00319
3 0.00740
4 0.10100
1 0.85649
2 0.02011
3 0.00450
4 0.11890
1 0.44735
2 0.14332
3 0.28159
4 0.12774
1 0.32380
2 0.01271
3 0.55232
4 0.11117
1 0.84684
2 0.02793
3 0.02478
4 0.10045
1 0.94201
2 0.01111
3 0.00624
4 0.04065
1 0.78069
2 0.05211
3 0.07426
4 0.09294
1 0.51116
2 0.02678
3 0.14520
4 0.31685
1 0.53790
2 0.00439
3 0.01553
4 0.44217
1 0.20708
2 0.69169
3 0.08730
4 0.01393
1 0.49604
2 0.32365
3 0.15902
4 0.02129
1 0.79306
2 0.03239
3 0.01567
4 0.15888
1 0.59755
2 0.27336
3 0.09288
4 0.03620
1 0.43686
2 0.10005
3 0.33536
4 0.12773
1 0.89408
2 0.02298
3 0.01666
4 0.06627
1 0.93113
2 0.00616
3 0.05640
4 0.00630
1 0.78074
2 0.05961
3 0.02140
4 0.13825
1 0.48348
2 0.09213
3 0.39019
4 0.03419
1 0.35894
2 0.02931
3 0.32267
4 0.28908
1 0.37686
2 0.15468
3 0.23012
4 0.23833
1 0.33339
2 0.00995
3 0.00266
4 0.65400
1 0.11388
2 0.00561
3 0.12544
4 0.75507
1 0.90138
2 0.02120
3 0.01929
4 0.05813
1 0.25504
2 0.02626
3 0.01279
4 0.70592
1 0.71820
2 0.06323
3 0.04709
4 0.17148
1 0.41935
2 0.09057
3 0.27261
4 0.21746
1 0.50581
2 0.05731
3 0.35633
4 0.08055
1 0.82746
2 0.16164
3 0.00950
4 0.00140
1 0.59417
2 0.00428
3 0.22256
4 0.17898
1 0.12545
2 0.04886
3 0.80898
4 0.01671
1 0.09834
2 0.00157
3 0.13453
4 0.76557
1 0.50434
2 0.07885
3 0.17296
4 0.24384
1 0.60079
2 0.32902
3 0.05249
4 0.01770
1 0.26702
2 0.22530
3 0.31921
4 0.18846
1 0.25617
2 0.55657
3 0.03488
4 0.15237
1 0.08151
2 0.42154
3 0.24466
4 0.25229
1 0.41776
2 0.01711
3 0.03502
4 0.53011
1 0.81409
2 0.04041
3 0.08798
4 0.05753
1 0.52898
2 0.01784
3 0.03327
4 0.41991
1 0.11055
2 0.71285
3 0.00624
4 0.17036
1 0.53652
2 0.05962
3 0.01142
4 0.39243
1 0.45800
2 0.06606
3 0.34763
4 0.12831
1 0.42507
2 0.01256
3 0.02472
4 0.53765
1 0.79454
2 0.03311
3 0.11781
4 0.05454
1 0.54496
2 0.08264
3 0.14773
4 0.22467
1 0.72544
2 0.03614
3 0.15466
4 0.08377
1 0.57381
2 0.06844
3 0.10554
4 0.25222
1 0.36035
2 0.00695
3 0.00032
4 0.63238
1 0.87333
2 0.02971
3 0.00806
4 0.08890
1 0.38754
2 0.01239
3 0.00329
4 0.59679
1 0.11741
2 0.05970
3 0.29332
4 0.52957
1 0.93835
2 0.01612
3 0.00267
4 0.04286
1 0.42633
2 0.00865
3 0.35103
4 0.21399
1 0.13053
2 0.57164
3 0.10709
4 0.19073
1 0.64703
2 0.06635
3 0.08922
4 0.19741
1 0.74172
2 0.06909
3 0.14565
4 0.04354
1 0.92296
2 0.01030
3 0.00298
4 0.06377
1 0.51215
2 0.13342
3 0.22184
4 0.13260
1 0.60369
2 0.08980
3 0.00721
4 0.29930
1 0.92550
2 0.01288
3 0.00339
4 0.05824
1 0.91104
2 0.01569
3 0.06322
4 0.01006
1 0.91168
2 0.02125
3 0.01698
4 0.05010
1 0.94351
2 0.01247
3 0.00600
4 0.03801
1 0.03101
2 0.01361
3 0.12312
4 0.83226
1 0.67814
2 0.04039
3 0.25896
4 0.02251
1 0.62783
2 0.26010
3 0.08142
4 0.03065
1 0.92965
2 0.00505
3 0.06471
4 0.00059
1 0.22215
2 0.13691
3 0.34651
4 0.29443
1 0.63435
2 0.05489
3 0.18019
4 0.13058
1 0.85990
2 0.03930
3 0.09007
4 0.01073
1 0.60167
2 0.08408
3 0.28229
4 0.03196
1 0.64212
2 0.06907
3 0.03431
4 0.25450
1 0.95491
2 0.01115
3 0.01460
4 0.01934
1 0.77784
2 0.06342
3 0.08848
4 0.07026
1 0.67567
2 0.06224
3 0.00188
4 0.26022
1 0.45412
2 0.04612
3 0.02331
4 0.47645
1 0.79353
2 0.03273
3 0.14501
4 0.02872
1 0.80739
2 0.02976
3 0.01396
4 0.14889
1 0.88394
2 0.02401
3 0.06660
4 0.02544
1 0.68973
2 0.06948
3 0.05516
4 0.18563
1 0.67569
2 0.06163
3 0.11173
4 0.15096
1 0.13642
2 0.17523
3 0.65831
4 0.03004
1 0.61032
2 0.26064
3 0.09449
4 0.03455
1 0.87738
2 0.03052
3 0.07526
4 0.01683
1 0.64191
2 0.24921
3 0.08000
4 0.02888
1 0.62432
2 0.01634
3 0.10435
4 0.25498
1 0.59326
2 0.04740
3 0.25502
4 0.10432
1 0.96098
2 0.00567
3 0.02159
4 0.01177
1 0.96198
2 0.00592
3 0.00190
4 0.03020
1 0.90570
2 0.00429
3 0.04670
4 0.04332
1 0.95420
2 0.00761
3 0.03351
4 0.00469
1 0.15362
2 0.29308
3 0.52113
4 0.03218
1 0.74276
2 0.03978
3 0.03502
4 0.18245
1 0.84753
2 0.00602
3 0.03930
4 0.10716
1 0.46105
2 0.13006
3 0.15422
4 0.25467
1 0.62257
2 0.17004
3 0.14056
4 0.06684
1 0.41597
2 0.01181
3 0.30823
4 0.26400
1 0.59146
2 0.10126
3 0.00933
4 0.29795
1 0.65844
2 0.24102
3 0.07400
4 0.02654
1 0.54670
2 0.28426
3 0.10545
4 0.06359
1 0.42234
2 0.09723
3 0.30569
4 0.17474
1 0.46647
2 0.04318
3 0.40356
4 0.08678
1 0.61568
2 0.02084
3 0.14606
4 0.21742
1 0.97259
2 0.00243
3 0.02146
4 0.00352
1 0.56169
2 0.28091
3 0.09719
4 0.06021
1 0.41807
2 0.09401
3 0.30294
4 0.18499
1 0.71175
2 0.04303
3 0.16007
4 0.08515
1 0.49890
2 0.03119
3 0.23135
4 0.23856
1 0.77242
2 0.00456
3 0.00073
4 0.22229
1 0.78201
2 0.02829
3 0.03850
4 0.15120
1 0.42831
2 0.01418
3 0.00205
4 0.55546
1 0.60446
2 0.10313
3 0.03207
4 0.26035
