type,value
top 20-50%,1.93252280430344
top 50-80%,2.03145474757169
top 80-100%,1.79537186971509
top 1,4.31511312611739
top 1-5%,1.6451254797883
top 5-10%,1.50964796858334
top 10-20%,0.651459343411127
top 20-50%,0.805680101071057
top 50-80%,0.620184264647031
top 80-100%,0.246432627048309
top 1,1.97922389885247
top 1-5%,0.451784054841481
top 5-10%,0.272522059254473
top 10-20%,0.2243059923371
top 20-50%,0.207938907944776
top 50-80%,0.277387272357882
top 80-100%,0.505341290583462
top 1,2.09643954876513
top 1-5%,0.554190305218872
top 5-10%,0.26011370721285
top 10-20%,0.207513272042272
top 20-50%,0.20726033429165
top 50-80%,0.300379657064578
top 80-100%,0.525159144066746
top 1,4.51971203065156
top 1-5%,1.12661754934134
top 5-10%,0.986031593433551
top 10-20%,0.965138266129565
top 20-50%,0.346506732678138
top 50-80%,0.24659372965309
top 80-100%,0.24659372965309
top 1,7.26782916436021
top 1-5%,7.00801467192234
top 5-10%,7.65629343712525
top 10-20%,7.56490306793791
top 20-50%,6.73682472651211
top 50-80%,6.53055054978121
top 80-100%,4.96483091679407
top 1,2.0185873745469
top 1-5%,0.4809100420716
top 5-10%,0.292382244079991
top 10-20%,0.252597345640335
top 20-50%,0.278834557671084
top 50-80%,0.303188890670977
top 80-100%,0.590701587948978
top 1,5.75264821999415
top 1-5%,4.6718421710464
top 5-10%,3.57731701753753
top 10-20%,2.49325419779777
top 20-50%,1.35214708459059
top 50-80%,0.647307081621498
top 80-100%,0.581883293877836
top 1,5.75581364391085
top 1-5%,0.471307328279747
top 5-10%,0.33376261988032
top 10-20%,0.33376261988032
top 20-50%,0.381711249999043
top 50-80%,0.344465868986432
top 80-100%,0.359758075261165
top 1,2.04771910123517
top 1-5%,0.474447140275759
top 5-10%,0.264292013539378
top 10-20%,0.215617431159198
top 20-50%,0.395867869635897
top 50-80%,0.490890474279145
top 80-100%,0.65409459974312
top 1,4.31808320190125
top 1-5%,0.45673992376549
top 5-10%,0.413654037214085
top 10-20%,0.822417289002177
top 20-50%,0.907880114067082
top 50-80%,1.19607370559523
top 80-100%,0.731193286391905
top 1,2.58707568087146
top 1-5%,0.350610051797082
top 5-10%,0.281371174141375
top 10-20%,0.249950498011521
top 20-50%,0.271457906104049
top 50-80%,0.357751037950232
top 80-100%,0.354658893077673
top 1,3.1963874664604
top 1-5%,1.97946069989519
top 5-10%,2.03255451628272
top 10-20%,1.91460202105488
top 20-50%,2.04019194401816
top 50-80%,1.80287915161757
top 80-100%,1.61691310852103
top 1,8.54867448967106
top 1-5%,5.49744146749431
top 5-10%,2.75976307504849
top 10-20%,2.37334940311833
top 20-50%,1.95277150945436
top 50-80%,1.15273009863173
top 80-100%,0.750175340748344
top 1,3.14832952896385
top 1-5%,2.05187315307938
top 5-10%,2.18092123273431
top 10-20%,2.45252523861873
top 20-50%,2.62199847516687
top 50-80%,2.50348388681606
top 80-100%,1.74188448866457
top 1,2.02457609805881
top 1-5%,0.47997716497592
top 5-10%,0.292639425389297
top 10-20%,0.245322600374195
top 20-50%,0.226534375771576
top 50-80%,0.243911847809956
top 80-100%,0.378211215480193
top 1,2.21044632624373
top 1-5%,0.305614587133764
top 5-10%,0.225609628683536
top 10-20%,0.225609628683536
top 20-50%,0.255858632961498
top 50-80%,0.339004381754447
top 80-100%,0.484461848732947
top 1,2.06520403919865
top 1-5%,0.517714037561391
top 5-10%,0.274477551772378
top 10-20%,0.225160363378663
top 20-50%,0.235467836570321
top 50-80%,0.2419958863877
top 80-100%,0.346881165109047
top 1,2.06849315270003
top 1-5%,7.81459763036288
top 5-10%,70.9441130283911
top 10-20%,19.3195661896931
top 20-50%,9.64356141315211
top 50-80%,8.42527247604278
top 80-100%,7.58438533919201
top 1,1.80525165762481
top 1-5%,0.446126961479259
top 5-10%,0.397602051613429
top 10-20%,0.245895923545255
top 20-50%,0.182300241955099
top 50-80%,0.185099093962794
top 80-100%,0.327056962660448
top 1,12.8642059935421
top 1-5%,7.14904961135875
top 5-10%,5.76499847644849
top 10-20%,4.47879256875716
top 20-50%,3.13167549340378
top 50-80%,1.57122189870916
top 80-100%,1.04900099171183
top 1,0.668191584601148
top 1-5%,2.81525647383617
top 5-10%,1.88265878816177
