log value type
730 0.5 1
730 0.574349 5
730 0.535887 10
730 0.353553 20
751 0.466516 1
751 0.435275 5
751 0.435275 10
751 0.353553 20
745 0.466516 1
745 0.435275 5
745 0.435275 10
745 0.329877 20
749 0.406126 1
749 0.353553 5
749 0.329877 10
749 0.233258 20
221 0.5 1
221 0.466516 5
221 0.435275 10
221 0.378929 20
759 0.406126 1
759 0.378929 5
759 0.353553 10
759 0.307786 20
345 0.435275 1
345 0.466516 5
345 0.435275 10
345 0.307786 20
731 0.406126 1
731 0.466516 5
731 0.435275 10
731 0.378929 20
275 0.466516 1
275 0.5 5
275 0.466516 10
275 0.435275 20
538 0.378929 1
538 0.378929 5
538 0.378929 10
538 0.307786 20
725 0.378929 1
725 0.466516 5
725 0.466516 10
725 0.378929 20
736 0.329877 1
736 0.329877 5
736 0.287175 10
736 0.25 20
231 0.707107 1
231 0.5 5
231 0.094732 10
231 0.108819 20
145 0.659754 1
145 0.5 5
145 0.133972 10
145 0.108819 20
59 0.659754 1
59 0.5 5
59 0.153893 10
59 0.108819 20
248 0.707107 1
248 0.5 5
248 0.125 10
248 0.108819 20
18 0.707107 1
18 0.5 5
18 0.189465 10
18 0.094732 20
28 0.707107 1
28 0.5 5
28 0.143587 10
28 0.088388 20
103 0.757858 1
103 0.5 5
103 0.116629 10
103 0.125 20
16 0.707107 1
16 0.5 5
16 0.125 10
16 0.108819 20
27 0.659754 1
27 0.466516 5
27 0.094732 10
27 0.094732 20
201 0.659754 1
201 0.5 5
201 0.116629 10
201 0.116629 20
111 0.659754 1
111 0.5 5
111 0.082469 10
111 0.094732 20
61 0.659754 1
61 0.5 5
61 0.108819 10
61 0.143587 20
13 0.707107 1
13 0.5 5
13 0.153893 10
13 0.125 20
43 0.659754 1
43 0.466516 5
43 0.094732 10
43 0.088388 20
213 0.659754 1
213 0.176777 5
213 0.125 10
213 0.125 20
116 0.659754 1
116 0.5 5
116 0.116629 10
116 0.116629 20
130 0.659754 1
130 0.5 5
130 0.094732 10
130 0.108819 20
94 0.659754 1
94 0.5 5
94 0.143587 10
94 0.143587 20
36 0.707107 1
36 0.5 5
36 0.164938 10
36 0.133972 20
67 0.707107 1
67 0.5 5
67 0.125 10
67 0.125 20
200 0.707107 1
200 0.5 5
200 0.143587 10
200 0.164938 20
47 0.659754 1
47 0.143587 5
47 0.101532 10
47 0.101532 20
39 0.707107 1
39 0.5 5
39 0.101532 10
39 0.164938 20
35 0.659754 1
35 0.5 5
35 0.125 10
35 0.153893 20
22 0.707107 1
22 0.5 5
22 0.116629 10
22 0.125 20
254 0.707107 1
254 0.5 5
254 0.116629 10
254 0.125 20
166 0.659754 1
166 0.5 5
166 0.076947 10
166 0.082469 20
74 0.757858 1
74 0.5 5
74 0.176777 10
74 0.125 20
136 0.707107 1
136 0.535887 5
136 0.125 10
136 0.233258 20
303 0.707107 1
303 0.5 5
303 0.101532 10
303 0.116629 20
20 0.659754 1
20 0.5 5
20 0.143587 10
20 0.116629 20
106 0.659754 1
106 0.5 5
106 0.076947 10
106 0.108819 20
187 0.707107 1
187 0.5 5
187 0.143587 10
187 0.125 20
169 0.812252 1
169 0.5 5
169 0.143587 10
169 0.143587 20
109 0.707107 1
109 0.5 5
109 0.108819 10
109 0.125 20
15 1 1
15 0.812252 5
15 0.757858 10
15 0.535887 20
25 1.148698 1
25 0.812252 5
25 0.5 10
25 0.5 20
11 0.933033 1
11 0.812252 5
11 0.5 10
11 0.466516 20
742 1.515717 1
742 2.462289 5
742 2.143547 10
742 0.615572 20
148 8 1
148 6.498019 5
148 6.498019 10
148 2.639016 20
165 0.757858 1
165 2.639016 5
165 1.071773 10
165 1.148698 20
79 4.594793 1
79 4.287094 5
79 2.639016 10
79 1.414214 20
507 1.741101 1
507 0.933033 5
507 0.03125 10
507 0.03125 20
278 0.047366 1
278 1.624505 5
278 1.414214 10
278 0.03125 20
434 0.0625 1
434 2.297397 5
434 2 10
434 2 20
265 0.659754 1
265 2.143547 5
265 1.515717 10
265 1.414214 20
10 0.466516 1
10 0.108819 5
10 0.108819 10
10 0.108819 20
746 0.088388 1
746 0.088388 5
746 0.088388 10
746 0.047366 20
190 5.656854 1
190 1.624505 5
190 1.071773 10
190 0.812252 20
45 1.414214 1
45 0.189465 5
45 0.307786 10
45 0.870551 20
