log type pct
679 p6 0
679 p7 0
133 p1 0.509201
133 p2 0.318239
133 p3 0.114495
133 p4 0.0580655
133 p5 0
133 p6 0
133 p7 0
97 p1 0.642284
97 p2 0.203432
97 p3 0.13092
97 p4 0.0233635
97 p5 0
97 p6 0
97 p7 0
232 p1 0.50004
232 p2 0.317118
232 p3 0.135907
232 p4 0.046935
232 p5 0
232 p6 0
232 p7 0
176 p1 0.416156
176 p2 0.323545
176 p3 0.230995
176 p4 0.0293039
176 p5 0
176 p6 0
176 p7 0
34 p1 0.530873
34 p2 0.272137
34 p3 0.149899
34 p4 0.0470907
34 p5 0
34 p6 0
34 p7 0
208 p1 0.473659
208 p2 0.31906
208 p3 0.165452
208 p4 0.0418294
208 p5 0
208 p6 0
208 p7 0
198 p1 0.445875
198 p2 0.350899
198 p3 0.166763
198 p4 0.0364639
198 p5 0
198 p6 0
198 p7 0
54 p1 0.671986
54 p2 0.143604
54 p3 0.0964023
54 p4 0.083069
54 p5 0.00493946
54 p6 0
54 p7 0
29 p1 0.260899
29 p2 0.234526
29 p3 0.486467
29 p4 0.0180385
29 p5 6.9626e-05
29 p6 0
29 p7 0
211 p1 0.764437
211 p2 0.067377
211 p3 0.120382
211 p4 0.0478037
211 p5 0
211 p6 0
211 p7 0
580 p1 0.662227
580 p2 0.242119
580 p3 0.095654
580 p4 0
580 p5 0
580 p6 0
580 p7 0
697 p1 0.417687
697 p2 0.510427
697 p3 0.0708646
697 p4 0.00102109
697 p5 0
697 p6 0
697 p7 0
4 p1 0.829832
4 p2 0.0323736
4 p3 0.0634934
4 p4 0.0743006
4 p5 0
4 p6 0
4 p7 0
160 p1 0.761959
160 p2 0.0591471
160 p3 0.103987
160 p4 0.0749072
160 p5 0
160 p6 0
160 p7 0
440 p1 0.59103
440 p2 0.237896
440 p3 0.171074
440 p4 0
440 p5 0
440 p6 0
440 p7 0
654 p1 0.665114
654 p2 0.276537
654 p3 0.0583481
654 p4 0
654 p5 0
654 p6 0
654 p7 0
122 p1 0.484991
122 p2 0.271559
122 p3 0.169623
122 p4 0.0717647
122 p5 0.00206208
122 p6 0
122 p7 0
178 p1 0.678821
178 p2 0.158427
178 p3 0.0668314
178 p4 0.0696178
178 p5 0.0263029
178 p6 0
178 p7 0
144 p1 0.554288
144 p2 0.249791
144 p3 0.119286
144 p4 0.0484961
144 p5 0.0281386
144 p6 0
144 p7 0
52 p1 0.645249
52 p2 0.203294
52 p3 0.0567958
52 p4 0.0693583
52 p5 0.0253021
52 p6 0
52 p7 0
107 p1 0.711751
107 p2 0.106312
107 p3 0.0800403
107 p4 0.0857679
107 p5 0.0161288
107 p6 0
107 p7 0
141 p1 0.687049
141 p2 0.112468
141 p3 0.108143
141 p4 0.0619971
141 p5 0.0303425
141 p6 0
141 p7 0
58 p1 0.709062
58 p2 0.142067
58 p3 0.0481881
58 p4 0.0750834
58 p5 0.0255997
58 p6 0
58 p7 0
225 p1 0.718236
225 p2 0.128443
225 p3 0.0495002
225 p4 0.0760059
225 p5 0.0278148
225 p6 0
225 p7 0
780 p1 0.764034
780 p2 0.194773
780 p3 0.0411933
780 p4 0
780 p5 0
780 p6 0
780 p7 0
37 p1 0.364962
37 p2 0.486688
37 p3 0.147947
37 p4 0.000403055
37 p5 0
37 p6 0
37 p7 0
701 p1 0.664172
701 p2 0.209409
701 p3 0.126419
701 p4 0
701 p5 0
701 p6 0
701 p7 0
41 p1 0.28721
41 p2 0.641253
41 p3 0.0638117
41 p4 0.00772513
41 p5 0
41 p6 0
41 p7 0
272 p1 0.606717
272 p2 0.212514
272 p3 0.170187
272 p4 0.0105825
272 p5 0
272 p6 0
272 p7 0
651 p1 0.793874
651 p2 0.035
651 p3 0.0691121
651 p4 0.102014
651 p5 0
651 p6 0
651 p7 0
435 p1 0.786339
435 p2 0.0394528
435 p3 0.0670321
435 p4 0.107176
435 p5 0
435 p6 0
435 p7 0
771 p1 0.454936
771 p2 0.485906
771 p3 0.0590822
771 p4 7.58432e-05
771 p5 0
771 p6 0
771 p7 0
460 p1 0.744038
460 p2 0.0527285
460 p3 0.116146
460 p4 0.0870869
460 p5 0
460 p6 0
460 p7 0
261 p1 0.110207
261 p2 0.760383
261 p3 0.127512
261 p4 0.00157756
261 p5 0.000320106
261 p6 0
261 p7 0
427 p1 0.855181
427 p2 0.0629774
427 p3 0.0818412
427 p4 0
427 p5 0
427 p6 0
427 p7 0
38 p1 0.799215
38 p2 0.0347134
38 p3 0.0508305
38 p4 0.08202
38 p5 0.0332212
38 p6 0
38 p7 0
280 p1 0.593998
280 p2 0.261221
280 p3 0.0875001
280 p4 0.0572808
280 p5 0
280 p6 0
280 p7 0
470 p1 0.538184
470 p2 0.350123
470 p3 0.111693
470 p4 0
470 p5 0
470 p6 0
470 p7 0
804 p1 0.402398
804 p2 0.421805
804 p3 0.110214
804 p4 0.0601175
804 p5 0.00546494
804 p6 0
804 p7 0
123 p1 0.75972
123 p2 0.066091
123 p3 0.123182
123 p4 0.0510068
123 p5 0
123 p6 0
123 p7 0
195 p1 0.794955
195 p2 0.0418817
195 p3 0.0891337
195 p4 0.0740292
195 p5 0
195 p6 0
195 p7 0
263 p1 0.765044
263 p2 0.089112
263 p3 0.132396
263 p4 0.0134478
263 p5 0
263 p6 0
263 p7 0
555 p1 0.782032
555 p2 0.124036
555 p3 0.0939317
555 p4 0
555 p5 0
555 p6 0
555 p7 0
132 p1 0.453965
132 p2 0.10149
132 p3 0.406264
132 p4 0.0373877
132 p5 0.000893464
132 p6 0
132 p7 0
730 p1 0.674214
730 p2 0.152581
730 p3 0.0806543
730 p4 0.0925409
730 p5 9.78394e-06
730 p6 0
730 p7 0
751 p1 0.359537
751 p2 0.40996
751 p3 0.215208
751 p4 0.0152158
751 p5 7.92223e-05
751 p6 0
751 p7 0
745 p1 0.550796
745 p2 0.286346
745 p3 0.106966
745 p4 0.0558902
745 p5 1.80823e-06
745 p6 0
745 p7 0
749 p1 0.174494
749 p2 0.630989
749 p3 0.189323
749 p4 0.00505784
749 p5 0.000136003
749 p6 0
749 p7 0
221 p1 0.605328
221 p2 0.178234
221 p3 0.101926
221 p4 0.11451
221 p5 2.09581e-06
221 p6 0
221 p7 0
759 p1 0.258952
759 p2 0.522408
759 p3 0.189469
759 p4 0.029167
759 p5 3.31116e-06
759 p6 0
759 p7 0
345 p1 0.422866
345 p2 0.368612
345 p3 0.17206
345 p4 0.0364625
345 p5 0
345 p6 0
345 p7 0
731 p1 0.374712
731 p2 0.464037
731 p3 0.148608
731 p4 0.0126426
731 p5 0
731 p6 0
731 p7 0
275 p1 0.614506
275 p2 0.263442
275 p3 0.0443702
275 p4 0.0776824
275 p5 0
275 p6 0
275 p7 0
538 p1 0.138335
538 p2 0.717635
538 p3 0.131889
538 p4 0.0119984
538 p5 0.000141344
538 p6 0
538 p7 0
725 p1 0.686051
725 p2 0.167562
725 p3 0.062404
725 p4 0.083983
725 p5 0
725 p6 0
725 p7 0
736 p1 0.468541
736 p2 0.294364
736 p3 0.190171
736 p4 0.0469234
736 p5 0
736 p6 0
736 p7 0
231 p1 0.160326
231 p2 0.706973
231 p3 0.12871
231 p4 0.00399085
231 p5 0
231 p6 0
231 p7 0
145 p1 0.174285
145 p2 0.705942
145 p3 0.110501
145 p4 0.00927113
145 p5 0
